timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777238774872,12,GET /restaurants (search),200,OK,Week4 Load Group 1-6,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,12,0,1
1777238774884,5,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-6,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,5,0,1
1777238775117,5,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-7,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,5,0,1
1777238775124,9,GET /restaurants (search),200,OK,Week4 Load Group 1-7,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,9,0,0
1777238775134,3,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-7,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,3,0,1
1777238775137,5,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-7,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,5,0,1
1777238775142,8,GET /restaurants (search),200,OK,Week4 Load Group 1-7,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,8,0,1
1777238775151,3,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-7,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,3,0,0
1777238775419,10,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-8,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,10,0,1
1777238775431,19,GET /restaurants (search),200,OK,Week4 Load Group 1-8,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,19,0,0
1777238775451,6,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-8,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,6,0,1
1777238775458,7,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-8,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,7,0,1
1777238775465,15,GET /restaurants (search),200,OK,Week4 Load Group 1-8,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,15,0,1
1777238775481,3,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-8,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,3,0,0
1777238775718,9,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-9,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,8,0,1
1777238775728,19,GET /restaurants (search),200,OK,Week4 Load Group 1-9,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,19,0,0
1777238775748,4,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-9,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,4,0,1
1777238775753,7,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-9,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,7,0,0
1777238775761,15,GET /restaurants (search),200,OK,Week4 Load Group 1-9,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,15,0,0
1777238775776,4,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-9,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,3,0,1
1777238776018,9,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-10,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,9,0,2
1777238776028,20,GET /restaurants (search),200,OK,Week4 Load Group 1-10,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,20,0,1
1777238776049,4,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-10,text,false,Test failed: code expected to contain /202/,227,292,1,1,http://localhost:8001/restaurants/1/reviews,4,0,0
1777238776054,8,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-10,text,false,Test failed: code expected to contain /200/,192,258,1,1,http://localhost:8003/auth/user/login,8,0,1
1777238776063,15,GET /restaurants (search),200,OK,Week4 Load Group 1-10,text,true,,1409,150,1,1,http://localhost:8004/restaurants?search=pizza&city=San+Jose,15,0,1
